audio_filename,text,speaking_style,voice,duration_seconds
00000_Rasalgethi_81be2f.wav,එතකොට අපි AI එකට කිව්වොතින් මේ වාර්තාව සම්පූර්ණයෙන්ම ලියල දෙන්න කියලා,"Read aloud meditatively, joyful and exuberant, at a brisk pace, as if delivering a TED talk.",Rasalgethi,5.651
00001_Sulafat_272372.wav,පොහොට්ටුවට ලැබිච්ච ගෝඨාභය රාජපක්ෂ මහත්තයට ලැබිච්ච ඡන්ද ලක්ෂ,"Read aloud poetically, tense and anxious, at a brisk pace, as if narrating a nature documentary.",Sulafat,4.891
00002_Despina_59770e.wav,මං හිතන්නේ මං පිස්සෙක් වගේ. මං අද දවසේ ප්‍රශ්න ගොඩකට මුහුණ දීලා හිටියේ,"Read aloud in a lecture style, melancholic and wistful, at a flowing pace, as if reading a bedtime story.",Despina,7.291
00003_Orus_56c3b6.wav,"අපේ පොඩි මේකකුත් තියෙනවා කාලෙකට ඉස්සෙල්ලා අපේ පරම්පරාවෙන් උඩ පරම්පරාවට ඉන්දියාව කියන එක ටිකක් අර allergic වගේ පොඩි topic එකක්. මොකද ඒක ඉන්දියාවත් සාමාන්‍යයෙන් කරපු දේවල් කිහිපෙකුත් සහ අපි ඉන්දියාවට කරපු දේවලුත් එක්ක පොඩි allergic මතෘකාවක්. හැබැයි ඉන්දියාව මට පේන විදියට නම් ඉන්දියාව කියන්නේ මාර opportunity එකක් අපිට. පට්ට opportunity එකක් අපිට. ඒ කියන්නේ, සිංගප්පූරුවට චීනය","Read aloud conversationally, confident and assertive, at a slow pace.",Orus,23.931
00004_Zephyr_56c3b6.wav,මේ වෙලේ අපි ලොකු risk එකක් අරන් කරනවා. සමහර කට්ටිය ඉන්නවා තමන් රස්සාවක් කරන අතරේ,"Read aloud conversationally, confident and assertive, at a slow pace.",Zephyr,6.731
00005_Aoede_272372.wav,the next part is so unexpected අපි මේ හම්බ උනේ මීට දවස් පහකට විතර කලින්,"Read aloud poetically, tense and anxious, at a brisk pace, as if narrating a nature documentary.",Aoede,3.131
00006_Sulafat_272372.wav,පළමුවෙනි ලෝක යුද්ධය අවසන් වෙනවා ජර්මනියට පරාජය හිමිකර දෙමින්,"Read aloud poetically, tense and anxious, at a brisk pace, as if narrating a nature documentary.",Sulafat,4.651
00007_Despina_a7118e.wav,අපි සාමාන්‍ය කෙනෙක් ගමු.  ඒ කියන්නේ ගොඩක් extreme නෙවෙයි. සාමාන්‍ය කෙනෙක්ට මේ automations කොහොමද use කරන්න පුලුවන් practical examples,"Read aloud intimately, warm and welcoming, at a clipped pace.",Despina,8.171
00008_Gacrux_ce0e36.wav,"ලක්ශ 2ක් එකපාර ගෙවන එකද රවී ඔයා හිතන්නේ හොද වැඩේ, නැත්නම් ඔයා අවුරුදු 2ක් ඇතුලත හිතන්නකෝ රුපියල් 10000, 15000 වගේ ගෙවන එකද?","Read aloud casually, nostalgic and sentimental, at a brisk pace, as if delivering a TED talk.",Gacrux,8.651
00009_Charon_5d47a4.wav,අපි හිතන ජනාධිපතිතුමා ඒ වෙලාවේ කසාන් වල බ්‍රික්ස්වල ඉන්න වෙලාවේ නම්,"Read aloud casually, joyful and exuberant, at a leisurely pace, as if announcing a product launch.",Charon,5.931
